;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1990-01-01;1,076449;1,050953;33,616739;0,483952;1,145514;1,551427;0,478313;1,116101;1,121655;4,390154;0,736214
1990-02-01;0,896724;0,951234;43,546903;-4,220753;1,061591;0,786124;0,413057;1,046157;0,955454;-4,105922;0,774248
1990-03-01;1,018736;1,074239;52,409614;2,695301;1,160371;1,024061;0,409374;1,108033;0,99399;6,224198;1,160295
1990-04-01;0,989614;1,058673;15,83773;4,260151;1,038086;1,178408;0,336173;1,005884;1,008446;4,860888;1,474707
1990-05-01;1,010043;1,11353;-41,785219;6,752525;0,99027;1,137076;0,426857;0,947773;0,840267;9,608006;1,586539
1990-06-01;0,963771;1,015089;21,593601;8,359378;1,059603;0,981261;1,207832;0,86749;0,970241;1,106043;1,672314
1990-07-01;0,997827;0,966017;-48,874018;1,879165;0,871052;0,781384;1,616537;0,519413;0,835224;-3,073956;1,386975
1990-08-01;1,050733;0,919833;-151,978609;-8,467574;0,446324;0,232563;2,12946;0,995288;0,945637;-5,875574;0,81189
1990-09-01;0,953438;0,88996;2,218861;-4,227951;1,091307;1,239611;2,274643;1,103416;0,990117;-10,671741;0,729989
1990-10-01;1,101345;1,011524;62,308011;2,150271;1,202742;1,29826;1,317099;1,191977;1,265138;1,134763;0,598776
1990-11-01;0,993362;0,988009;32,926219;-1,960236;1,104211;1,082843;0,861792;1,088313;1,099197;-0,872345;0,580635
1990-12-01;0,964566;0,958911;-21,431038;-7,35703;0,801496;0,701581;0,517801;1,012;0,979404;-3,370031;0,484854
1991-01-01;1,064295;1,054478;31,562981;1,852237;1,190499;1,554033;0,48354;1,118544;1,097121;4,676337;0,737872
1991-02-01;0,897906;0,951996;41,74271;-4,713307;1,060485;0,793252;0,412796;1,039148;0,957837;-4,05179;0,777875
1991-03-01;0,998442;1,048949;53,810969;-1,765804;1,119973;1,009602;0,405035;1,106351;0,980001;4,074693;1,119842
1991-04-01;1,019999;1,090561;17,370076;8,780312;1,063232;1,201312;0,33798;1,009119;1,060559;7,607771;1,528666
1991-05-01;1,002967;1,107745;-39,889872;4,140203;0,965811;1,136884;0,428452;0,946649;0,837886;9,172506;1,566954
1991-06-01;0,926173;0,987571;19,283754;5,904426;1,065171;0,945921;1,198081;0,86827;0,934917;-1,445003;1,625793
1991-07-01;1,045784;0,988097;-46,368507;4,565008;0,878272;0,816511;1,629259;0,521686;0,871148;-0,86956;1,430068
1991-08-01;0,99919;0,90436;-158,059206;-8,668545;0,437814;0,224797;2,092114;0,995784;0,91708;-7,656257;0,800718
1991-09-01;1,002354;0,903455;6,890959;-2,420512;1,1022;1,28307;2,292016;1,103256;1,010408;-9,189079;0,745574
1991-10-01;1,0895;1,014731;59,79685;2,688587;1,236503;1,301423;1,332058;1,194409;1,240863;1,399234;0,59955
1991-11-01;0,955174;0,973142;31,514711;-4,801669;1,062603;1,037328;0,846563;1,087198;1,078741;-2,293673;0,569414
1991-12-01;1,014402;0,982901;-14,090201;-3,377116;0,830797;0,747323;0,525783;1,015102;1,026968;-1,110414;0,497212
1992-01-01;1,054045;1,051102;31,67422;0,599669;1,171642;1,510122;0,488251;1,119807;1,06548;4,439517;0,731499
1992-02-01;0,901572;0,975743;38,311673;-4,932395;1,077687;0,814726;0,421932;1,024097;0,985288;-1,773937;0,802469
1992-03-01;1,03905;1,06911;55,923448;1,7375;1,145468;1,059845;0,407668;1,10285;1,020725;5,829711;1,15329
1992-04-01;1,025083;1,084028;13,67931;6,135224;1,076334;1,2018;0,340098;1,017553;1,046603;7,142357;1,520994
1992-05-01;0,922895;1,06308;-43,003943;-1,138506;0,918042;1,053724;0,417978;0,948145;0,810655;5,309768;1,48448
1992-06-01;1,02251;1,028852;25,579456;12,441989;1,113249;1,000707;1,222149;0,874128;0,989115;2,389632;1,715072
1992-07-01;1,021857;0,98227;-47,680954;3,571265;0,88006;0,855863;1,651;0,527081;0,845973;-1,404964;1,409654
1992-08-01;0,97209;0,878388;-156,733916;-10,45848;0,426049;0,22036;2,050013;0,993336;0,904438;-10,411821;0,779908
1992-09-01;1,052719;0,935352;12,708005;0,682141;1,155074;1,329874;2,312491;1,097598;1,074661;-5,778752;0,775032
1992-10-01;1,027038;0,995466;52,542513;-0,415412;1,173583;1,234253;1,317224;1,191167;1,178023;-0,480462;0,586023
1992-11-01;0,96378;0,965105;34,626317;-5,494611;1,061323;1,033963;0,848157;1,090922;1,049255;-3,112398;0,566929
1992-12-01;1,051737;1,012904;-11,146161;-0,34741;0,870801;0,788898;0,533155;1,013737;1,067515;1,627956;0,516887
1993-01-01;0,965927;1,010596;27,234583;-3,138587;1,119198;1,359329;0,480678;1,118817;0,996155;0,768578;0,69636
1993-02-01;0,901619;0,953183;36,164807;-5,523571;1,053577;0,841185;0,415125;1,011824;0,975468;-4,061522;0,785475
1993-03-01;1,096133;1,094609;55,559563;3,028042;1,159083;1,111844;0,408456;1,098946;1,069309;8,126236;1,189464
1993-04-01;1,008404;1,083356;9,455223;6,406968;1,058464;1,185342;0,341205;1,027976;1,048249;7,034899;1,513301
1993-05-01;0,936309;1,057691;-42,455449;-1,186531;0,914691;1,009901;0,414359;0,957707;0,823424;4,824179;1,491626
1993-06-01;1,022915;1,027;27,816979;10,224887;1,145447;1,029307;1,234337;0,886412;0,978995;2,39707;1,709167
1993-07-01;0,969535;0,962217;-51,69217;3,58939;0,859193;0,859542;1,629767;0,53618;0,820285;-3,471372;1,376477
1993-08-01;1,023727;0,897213;-148,441397;-5,347937;0,44342;0,233794;2,076158;0,98257;0,948045;-8,480819;0,796858
1993-09-01;1,040111;0,932575;10,29385;-0,885711;1,163164;1,33714;2,310386;1,081356;1,043983;-5,98563;0,777422
1993-10-01;0,98898;0,973936;51,449903;-4,23959;1,131925;1,21183;1,305517;1,182277;1,159152;-2,448164;0,569961
1993-11-01;1,009332;0,999297;38,7054;-1,156837;1,084344;1,021135;0,850471;1,095448;1,074347;0,030349;0,591037
1993-12-01;1,041556;1,010826;-6,207073;-2,311344;0,84796;0,790289;0,533631;1,016464;1,076567;1,392241;0,515871
1994-01-01;0,971947;1,008776;24,654514;-1,227139;1,118919;1,270732;0,484925;1,115295;0,968765;0,577565;0,702294
1994-02-01;0,904484;0,952843;33,106648;-5,423844;1,055275;0,878039;0,41782;1,001397;0,98045;-4,179698;0,785085
1994-03-01;1,093904;1,096226;47,721507;3,083131;1,193676;1,157069;0,411595;1,099049;1,054159;8,265874;1,18964
1994-04-01;0,960205;1,06398;2,592698;4,183196;1,014052;1,122202;0,335377;1,03793;1,050473;5,401336;1,483089
1994-05-01;0,991513;1,080082;-34,104746;1,540125;0,940792;1,013959;0,420864;0,971376;0,8723;6,836703;1,521463
1994-06-01;1,011214;1,017062;25,173661;7,367386;1,167077;1,082568;1,245715;0,905548;0,924491;1,471578;1,706927
1994-07-01;0,93371;0,935071;-48,688923;0,127081;0,829355;0,885541;1,618162;0,547478;0,821593;-6,055405;1,319095
1994-08-01;1,074781;0,918479;-141,349516;-1,863884;0,458553;0,236691;2,07447;0,968211;0,987957;-6,312108;0,820278
1994-09-01;1,030146;0,935551;9,823155;-0,898659;1,152298;1,339724;2,31778;1,056301;1,045128;-5,665383;0,778715
