;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2024-05-01;1,034084;1,071372;8,917535;3,484977;1,017672;1,039488;;;;;
2024-06-01;0,931087;0,922162;-0,746526;-12,575721;0,955536;1,072596;;;;;
2024-07-01;1,032625;0,955596;-16,592339;0,931904;1,036268;1,245337;;;;;
2024-08-01;0,964848;0,942699;-44,174071;-0,803824;0,976129;0,438366;;;;;
2024-09-01;0,979432;0,928647;6,363394;-3,76986;0,981123;1,119418;;;;;
2024-10-01;1,069693;1,032479;26,173141;1,020394;1,06646;1,108851;;;;;
2024-11-01;0,956078;0,983119;12,89401;-3,667177;0,959328;1,005626;;;;;
2024-12-01;1,009461;1,008085;6,417485;0,884354;1,005949;0,767936;;;;;
2025-01-01;1,051786;1,070149;13,992079;6,456521;1,025152;0,9938;;;;;
2025-02-01;0,925579;0,969221;-5,033122;-4,162113;0,984137;1,060577;;;;;
2025-03-01;1,009299;1,050564;-5,963252;5,419962;0,95715;1,001309;;;;;
2025-04-01;1,05293;1,066145;-0,501463;6,13674;1,038094;1,161881;;;;;
2025-05-01;;;;;;;;;;;
2025-06-01;;;;;;;;;;;
2025-07-01;;;;;;;;;;;
2025-08-01;;;;;;;;;;;
2025-09-01;;;;;;;;;;;
2025-10-01;;;;;;;;;;;
2025-11-01;;;;;;;0,884624;0,969458;1,065477;-3,995461;0,584267
2025-12-01;;;;;;;0,691702;1,043037;1,019464;2,834615;0,393542
2026-01-01;;;;;;;0,731718;1,075582;1,021938;5,489729;0,872924
2026-02-01;;;;;;;0,688183;1,012287;0,925181;-2,164879;1,161189
2026-03-01;;;;;;;0,715611;1,027238;1,001122;7,295361;1,377346
2026-04-01;;;;;;;0,694533;0,991997;1,055215;5,189581;1,369768
2026-05-01;;;;;;;0,680642;1,051273;0,952463;2,523171;1,207925
2026-06-01;;;;;;;1,135206;0,924199;0,906198;-3,435685;1,430208
2026-07-01;;;;;;;1,388666;0,984108;0,93934;-4,418317;1,364057
2026-08-01;;;;;;;1,398806;1,024083;0,964276;-8,425321;0,871034
2026-09-01;;;;;;;1,662237;0,867825;0,940139;-4,242911;0,770179
2026-10-01;;;;;;;1,305788;1,035942;1,174933;1,416543;0,582884
