;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1990-01-01;103,308901;81,077613;151,050871;45,941928;731,06402;548,156379;98,382067;42,532072;537,146783;81,297222;74,316262
1990-02-01;105,481325;82,235645;234,313546;47,406515;740,58677;550,160058;98,080489;45,214629;473,774059;82,771791;76,746767
1990-03-01;106,341736;84,255076;232,777768;48,569433;751,410412;546,504597;97,366784;46,461786;492,391902;84,794571;77,783369
1990-04-01;109,240089;84,887025;237,428754;53,07398;735,713003;575,287387;98,634482;42,112982;416,191098;85,508105;78,080469
1990-05-01;109,252366;84,377621;283,949414;51,904487;711,875768;604,05032;97,50252;44,689252;496,194259;84,87306;77,063661
1990-06-01;109,145653;85,117816;236,733158;50,231534;690,274575;613,366183;96,610388;33,510512;516,049753;85,775985;77,554468
1990-07-01;110,757447;86,724593;239,886824;49,556263;763,551497;573,549095;98,314648;42,071443;606,870669;87,31912;78,63623
1990-08-01;109,137613;81,977372;224,194028;47,748417;661,641075;554,016483;98,494165;42,329366;461,67659;81,709099;76,03465
1990-09-01;110,22151;79,037272;217,004448;56,03252;699,269303;575,503748;99,431722;42,945312;469,026253;81,413342;74,668865
1990-10-01;110,578434;82,489998;238,471662;48,165017;731,719791;563,438608;99,98556;43,964234;464,884664;82,779563;76,368054
1990-11-01;116,066478;81,961619;239,058239;52,175313;705,172916;530,438808;99,105794;42,24607;480,648362;82,307592;76,058941
1990-12-01;111,903746;82,43276;246,876826;38,13756;674,679965;520,904585;101,010902;44,620947;468,462364;82,858073;76,381446
1991-01-01;113,395805;83,236405;279,936391;44,683668;688,444998;539,384808;100,796723;44,40305;460,351748;83,590382;76,680838
1991-02-01;112,649965;81,619499;282,641965;61,09119;674,028684;503,072065;102,467822;42,19404;486,835276;82,193936;76,093824
1991-03-01;113,46095;81,834814;255,125782;62,743382;653,891068;535,9147;103,288597;43,06695;502,066392;82,251958;76,506141
1991-04-01;112,247572;82,247423;254,426697;56,990104;677,063533;528,449649;102,884707;50,780244;480,944128;82,59173;76,134573
1991-05-01;112,874835;84,378603;242,171003;53,626124;533,605421;505,079715;101,074231;44,47936;457,713223;84,82198;77,624834
