;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2024-05-01;100,072748;102,583479;66,326369;110,164959;0,097257;95,547038;;;;;
2024-06-01;101,41954;102,739352;66,332601;112,453722;0,098115;95,466361;;;;;
2024-07-01;100,372603;102,383368;65,94585;109,943325;0,097287;93,898097;;;;;
2024-08-01;102,03931;102,004463;64,930901;109,847599;0,097294;93,928861;;;;;
2024-09-01;101,242319;102,279946;67,386402;110,384924;0,097954;93,79052;;;;;
2024-10-01;101,160763;102,149792;65,473401;108,577935;0,096877;93,635845;;;;;
2024-11-01;100,792385;101,952611;65,682499;109,326723;0,097498;98,797777;;;;;
2024-12-01;101,115617;102,593245;65,393834;108,039622;0,09765;92,10315;;;;;
2025-01-01;100,202853;101,805281;62,157292;107,954568;0,096899;78,226666;;;;;
2025-02-01;100,546545;101,579823;69,322967;108,816902;0,096352;89,413236;;;;;
2025-03-01;98,684498;101,726333;66,827554;104,871255;0,098935;89,383378;;;;;
2025-04-01;99,859962;101,471951;64,76695;112,266043;0,096458;88,226777;;;;;
2025-05-01;;;;;;;;;;;
2025-06-01;;;;;;;;;;;
2025-07-01;;;;;;;;;;;
2025-08-01;;;;;;;;;;;
2025-09-01;;;;;;;;;;;
2025-10-01;;;;;;;;;;;
2025-11-01;;;;;;;93,047799;97,130015;99,945315;98,886512;109,682516
2025-12-01;;;;;;;95,306178;101,436141;103,852624;98,660998;115,494494
2026-01-01;;;;;;;97,337321;100,234034;98,685202;98,085173;113,089811
2026-02-01;;;;;;;99,097503;100,387984;101,281967;97,663617;113,560761
2026-03-01;;;;;;;99,748213;96,016295;103,742255;97,808614;113,440538
2026-04-01;;;;;;;99,780664;101,348675;101,626766;98,28638;114,821219
2026-05-01;;;;;;;98,739908;99,694269;101,750928;98,029127;114,896676
2026-06-01;;;;;;;99,450795;101,11206;105,075226;97,806408;116,544101
2026-07-01;;;;;;;100,012039;99,630326;100,234889;97,232824;118,253515
2026-08-01;;;;;;;98,837699;100,787393;100,710421;97,712279;118,563751
2026-09-01;;;;;;;98,434257;99,869405;104,167222;98,154606;116,905495
2026-10-01;;;;;;;99,029608;99,619051;99,294863;97,759325;114,607904
