;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2024-05-01;103,483632;109,905068;75,243904;113,649937;0,098976;99,320025;;;;;
2024-06-01;94,430443;94,742353;65,586075;99,878001;0,093752;102,396856;;;;;
2024-07-01;103,647246;97,837167;49,35351;110,875229;0,100815;116,934807;;;;;
2024-08-01;98,452404;96,15948;20,756831;109,043774;0,094971;41,175199;;;;;
2024-09-01;99,159947;94,981969;73,749796;106,615064;0,096105;104,990784;;;;;
2024-10-01;108,210985;105,467543;91,646543;109,598329;0,103316;103,828182;;;;;
2024-11-01;96,365345;100,231566;78,576509;105,659546;0,093532;99,353566;;;;;
2024-12-01;102,072283;103,422724;71,811319;108,923977;0,098231;70,729344;;;;;
2025-01-01;105,391937;108,94679;76,149371;114,411089;0,099336;77,74168;;;;;
2025-02-01;93,063816;98,453309;64,289845;104,654789;0,094824;94,829632;;;;;
2025-03-01;99,602143;106,869983;60,864302;110,291217;0,094696;89,500351;;;;;
2025-04-01;105,145566;108,18383;64,265488;118,402783;0,100132;102,509016;;;;;
2025-05-01;;;;;;;;;;;
2025-06-01;;;;;;;;;;;
2025-07-01;;;;;;;;;;;
2025-08-01;;;;;;;;;;;
2025-09-01;;;;;;;;;;;
2025-10-01;;;;;;;;;;;
2025-11-01;;;;;;;82,31231;94,163461;106,489406;94,891051;64,083831
2025-12-01;;;;;;;65,923466;105,801671;105,874054;101,495613;45,45192
2026-01-01;;;;;;;71,223452;107,809905;100,850129;103,574902;98,718836
2026-02-01;;;;;;;68,197259;101,621462;93,704141;95,498738;131,865541
2026-03-01;;;;;;;71,380891;98,631595;103,858691;105,103975;156,246867
2026-04-01;;;;;;;69,300979;100,53762;107,238131;103,475961;157,27844
2026-05-01;;;;;;;67,206529;104,805872;96,913957;100,552298;138,786565
2026-06-01;;;;;;;112,897167;93,447686;95,218971;94,370723;166,682262
2026-07-01;;;;;;;138,883332;98,047042;94,154671;92,814507;161,304529
2026-08-01;;;;;;;138,254804;103,214634;97,112596;89,286958;103,273097
2026-09-01;;;;;;;163,621074;86,669135;97,931699;93,911695;90,038212
2026-10-01;;;;;;;129,311639;103,199573;116,664809;99,175868;66,803072
