;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
1990-01-01;114,682698;96,702306;114,203014;106,768403;83,781231
1990-02-01;110,91259;84,488981;117,358232;106,700552;80,447378
1990-03-01;111,181345;95,473175;118,38295;105,986;80,293763
1990-04-01;105,296639;83,825185;105,827714;107,417188;77,047489
1990-05-01;116,59789;88,017387;118,730358;110,112367;84,726221
1990-06-01;106,661474;83,065657;111,732752;107,123828;77,776817
1990-07-01;111,195013;87,215506;112,658589;109,363243;80,279776
1990-08-01;110,53261;87,360503;120,494423;114,421291;86,227731
1990-09-01;105,965523;83,589264;78,281836;104,047951;76,646254
1990-10-01;115,389014;93,089462;121,445529;116,651308;81,662901
1990-11-01;116,901146;87,058208;123,652534;115,953598;81,717924
1990-12-01;99,362586;87,66165;109,384815;107,841408;79,759149
1991-01-01;117,497066;85,146896;116,438058;116,627232;92,921724
1991-02-01;90,456848;85,412972;112,75136;113,813751;85,130681
1991-03-01;110,423125;106,606819;108,071645;110,037272;85,34174
1991-04-01;123,181558;79,005621;116,622219;114,404986;88,651999
1991-05-01;115,944746;110,537714;117,726887;112,973866;86,66394
1991-06-01;111,863551;85,160106;114,160388;106,873612;79,930807
1991-07-01;120,111048;90,798476;125,369455;119,676644;88,418965
1991-08-01;110,41217;90,300292;113,642411;113,577643;84,381128
1991-09-01;111,158912;91,438139;112,386132;114,345827;85,140055
1991-10-01;117,413065;93,695847;121,522711;120,891814;93,18278
1991-11-01;108,465282;90,780246;117,870637;107,819211;91,466562
1991-12-01;107,601573;98,078369;124,768617;115,407112;93,047184
1992-01-01;107,297431;96,261769;121,328841;118,855025;91,670074
1992-02-01;107,951308;106,743417;117,146761;113,863708;87,139111
1992-03-01;111,076401;92,567743;116,910719;115,293285;88,801265
1992-04-01;110,440306;105,014854;129,711768;123,25403;92,985278
1992-05-01;101,670985;91,439587;112,569959;104,572647;84,839121
1992-06-01;103,959135;103,034476;133,637341;118,376057;91,886308
1992-07-01;101,766631;101,513441;116,388719;117,523388;95,534016
1992-08-01;98,897663;106,210907;102,231028;109,538446;91,268718
1992-09-01;104,696147;104,90089;116,269438;117,299255;97,685546
