;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
2024-05-01;98,728421;89,23864;99,264767;105,694331;92,485172
2024-06-01;97,060036;91,808399;102,154243;93,89192;86,868328
2024-07-01;113,340346;89,431544;107,02333;118,402759;96,076728
2024-08-01;100,032727;92,301547;98,519251;104,428553;87,341169
2024-09-01;103,10159;90,37938;101,891051;103,440253;86,525667
2024-10-01;107,136414;88,474493;100,858786;115,937586;91,483892
2024-11-01;101,450958;90,169069;99,37552;102,954798;86,494344
2024-12-01;102,323015;83,626417;105,629237;103,642968;87,808442
2025-01-01;103,917465;89,5458;100,800559;107,961288;89,690373
2025-02-01;100,803661;91,191263;100,193854;102,637491;87,655799
2025-03-01;98,034578;88,112498;99,65666;101,142512;87,041111
2025-04-01;105,916383;94,382816;103,844208;109,600562;90,941432
