;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
1990-01-01;95,517342;108,63547;117,903031;111,206712;82,786439
1990-02-01;97,016789;82,816204;112,035314;94,587681;72,501634
1990-03-01;118,258726;92,174856;125,604533;108,334131;83,717281
1990-04-01;112,373892;85,508302;109,572814;108,105499;78,595727
1990-05-01;120,090908;70,698257;117,293883;110,349641;85,942817
1990-06-01;125,327824;85,368217;119,256791;105,19145;81,978387
1990-07-01;126,298063;86,126927;144,962502;110,516772;76,505251
1990-08-01;92,627439;50,905539;55,336406;114,674447;78,999544
1990-09-01;114,757879;100,209678;86,20283;105,089345;77,725098
1990-10-01;131,119754;99,192755;134,347203;121,784953;86,145651
1990-11-01;116,162622;98,779701;127,510036;115,295984;81,768216
1990-12-01;75,679564;97,256248;102,145422;107,938516;83,685915
1991-01-01;97,884082;96,991643;119,67178;120,68655;91,843441
1991-02-01;76,115571;83,312527;107,543264;101,149124;77,036865
1991-03-01;117,517633;103,060552;115,747972;113,284206;88,866202
1991-04-01;129,888043;80,963894;120,139544;114,492417;90,109889
1991-05-01;119,801857;93,865842;116,433882;113,209681;88,129518
1991-06-01;130,945788;88,28797;122,325192;105,397101;84,615895
1991-07-01;134,776256;89,543097;157,378809;119,962274;84,38789
1991-08-01;92,961082;53,083105;48,511674;114,452595;77,225563
1991-09-01;120,258212;107,455301;120,843873;115,739968;86,088295
1991-10-01;133,098417;99,841638;133,510286;125,536592;97,452619
1991-11-01;107,737795;101,848335;121,212754;107,45537;91,438134
1991-12-01;83,948043;108,849334;117,330811;115,588623;96,769876
1992-01-01;87,468838;108,001268;123,896155;121,898097;90,895944
1992-02-01;93,325561;103,88172;112,502096;101,664459;78,87022
1992-03-01;117,776358;89,121617;125,422429;120,037109;92,076431
1992-04-01;117,167866;107,311711;132,83252;122,160631;94,859561
1992-05-01;105,683239;75,63582;111,452241;105,100331;86,455345
1992-06-01;123,131603;107,520172;143,366312;117,560923;96,60529
1992-07-01;116,648436;99,475491;148,011954;116,320547;91,737453
1992-08-01;81,415885;68,566354;37,487449;111,106201;83,839134
1992-09-01;114,193172;120,093796;125,409328;119,111844;98,410958
1992-10-01;114,309295;99,953485;123,336355;113,518817;95,669568
1992-11-01;100,078454;117,335451;112,725056;112,37531;90,469023
1992-12-01;75,022085;100,460749;103,834025;120,241265;96,111874
1993-01-01;77,167294;103,922736;114,066705;106,934447;85,876072
1993-02-01;87,371742;96,195167;107,588946;101,894002;88,7866
1993-03-01;103,014297;87,55062;122,269676;121,31379;95,461282
1993-04-01;104,469484;97,516216;108,363657;108,264768;95,006079
1993-05-01;97,190875;79,594901;97,345723;102,517849;87,065683
1993-06-01;118,788496;104,885572;114,03127;117,710349;103,364137
1993-07-01;111,208804;95,073097;134,476225;106,850253;88,909055
1993-08-01;80,308091;54,599944;32,934553;113,427968;86,804713
1993-09-01;108,447731;116,829979;118,377521;114,469921;106,324244
1993-10-01;103,217052;102,860371;105,75865;108,616043;99,040098
1993-11-01;89,724715;113,979143;104,402548;112,55542;95,348181
1993-12-01;76,897559;116,060494;96,72691;111,457985;102,942744
1994-01-01;76,240911;138,20141;99,550631;107,564096;92,767127
1994-02-01;78,567519;91,758457;96,264651;98,007142;87,463336
1994-03-01;111,265489;89,536363;111,775978;117,724325;101,944443
1994-04-01;102,252765;106,080944;105,008038;102,4705;95,979936
1994-05-01;107,688639;92,049247;107,61173;107,103433;100,550824
1994-06-01;126,79137;111,298515;117,89057;107,028229;107,660876
1994-07-01;110,085038;99,832193;131,15185;97,947415;91,540033
1994-08-01;93,703188;60,536472;41,64776;113,491449;94,832378
1994-09-01;114,656475;110,425586;114,148291;109,201733;103,464882
1994-10-01;112,194784;126,760106;110,799158;107,341366;97,830822
1994-11-01;108,075258;106,65595;102,367795;107,451186;102,062252
1994-12-01;86,558092;135,590826;110,536584;107,129864;106,028224
1995-01-01;78,481348;125,604864;105,95707;108,758239;105,742275
1995-02-01;89,901495;92,914444;111,086672;98,858382;97,861025
1995-03-01;110,08616;119,438341;124,466768;116,013927;118,748479
1995-04-01;104,43206;109,766016;106,919798;102,031519;102,372739
1995-05-01;111,921731;97,486582;111,904827;115,170293;114,657443
1995-06-01;124,793455;116,733037;127,868585;108,742751;116,071111
1995-07-01;111,600039;100,666506;127,307795;102,627895;95,853593
1995-08-01;87,555812;80,335436;72,803874;115,56481;102,123748
1995-09-01;113,362671;121,659716;122,748214;108,606904;105,958695
1995-10-01;119,176051;111,464084;119,712359;114,401585;111,366806
1995-11-01;102,726493;104,963484;114,533526;107,585613;110,68778
1995-12-01;69,740753;129,550739;91,872338;103,974134;107,9997
1996-01-01;78,577509;125,659278;135,189688;118,674433;111,659655
1996-02-01;72,887825;106,687208;126,088198;102,971947;100,89582
1996-03-01;97,29642;119,691997;139,550974;108,398883;109,214601
1996-04-01;107,065904;106,752376;126,414145;107,30778;117,166727
1996-05-01;100,001847;93,890224;128,748395;114,245728;115,377131
1996-06-01;110,998088;103,653087;134,285137;105,098146;104,982017
1996-07-01;117,648977;92,506804;150,376314;121,116937;116,385722
1996-08-01;74,365533;64,237071;78,226309;117,811702;107,399116
1996-09-01;102,298046;119,531556;130,686523;113,824295;112,820906
1996-10-01;113,919255;125,671219;138,585613;120,719758;126,008128
1996-11-01;83,395174;120,060965;114,594483;103,848253;113,538122
1996-12-01;69,779932;104,602388;95,013207;112,398867;123,863878
1997-01-01;56,874806;136,186419;117,907056;115,975157;119,69753
1997-02-01;85,552624;126,90108;121,078924;102,084783;105,691907
1997-03-01;96,756635;95,948603;126,989306;109,186225;113,134772
1997-04-01;115,522465;125,683296;130,253878;122,084276;125,773894
1997-05-01;96,93547;101,160598;124,59377;109,574906;115,276469
1997-06-01;114,916502;130,974371;131,618078;107,630169;114,169624
1997-07-01;118,520609;121,302286;144,136522;113,472384;116,849
1997-08-01;75,179634;79,509816;75,335686;105,008055;100,718682
1997-09-01;113,337576;137,135365;121,7526;113,396361;119,380898
1997-10-01;118,10866;130,482805;143,843774;115,541843;123,899224
1997-11-01;89,234722;111,976996;114,783014;100,619971;107,45288
1997-12-01;72,576722;133,814493;100,5929;116,948487;133,517268
1998-01-01;76,658117;139,708148;128,553798;111,787535;114,56514
1998-02-01;87,32358;108,991623;123,12388;98,474183;107,840839
1998-03-01;106,686976;127,321388;131,962538;114,97439;124,32791
1998-04-01;103,267513;96,864686;153,765031;115,227419;125,993717
1998-05-01;94,711985;107,395135;123,026422;103,485039;114,7542
1998-06-01;119,782666;113,123518;134,746693;109,317334;123,644847
1998-07-01;114,295897;102,079416;151,611894;110,156256;119,432535
1998-08-01;76,699048;83,523134;79,251615;106,497997;109,024126
1998-09-01;116,310018;137,603674;141,612403;111,265444;123,880916
1998-10-01;114,478987;124,870174;144,416476;106,075472;124,666184
1998-11-01;92,870729;132,235155;126,771969;105,490802;117,145565
1998-12-01;79,977992;118,86512;115,61275;113,576421;126,469028
1999-01-01;78,820003;133,357619;134,312722;104,714727;110,280542
1999-02-01;81,934859;123,234232;127,939163;98,860714;106,079996
1999-03-01;111,131404;126,725653;139,570307;121,660768;130,048162
1999-04-01;107,97283;110,367303;131,151166;105,728653;116,861377
1999-05-01;100,849199;118,367785;121,694546;105,797469;113,37503
1999-06-01;129,144819;129,847279;149,202349;108,12799;123,320456
1999-07-01;116,892154;120,345009;145,48538;105,10547;106,599032
1999-08-01;86,343199;85,140344;82,65983;111,178612;104,265861
1999-09-01;120,295492;140,67008;137,498085;109,60732;113,995311
1999-10-01;113,980981;126,12654;129,80759;106,531136;115,230781
1999-11-01;102,764214;126,922671;124,867264;111,405464;110,919007
1999-12-01;84,927351;144,653728;121,79242;112,693552;118,394413
2000-01-01;84,395625;129,78836;123,546279;107,656687;108,316949
2000-02-01;104,936188;131,921004;124,099483;103,667449;106,980071
2000-03-01;122,921613;123,170885;138,668906;116,742342;122,270849
2000-04-01;108,344718;121,037636;122,343709;102,071286;107,629067
2000-05-01;124,351434;135,203888;140,060586;115,875066;125,457048
2000-06-01;119,555329;123,833804;131,583951;102,793695;115,42812
2000-07-01;116,895151;122,977934;135,314033;100,049454;110,268456
2000-08-01;92,285655;79,79235;89,324299;113,130007;113,969092
2000-09-01;118,320947;133,387998;141,874054;104,330212;117,122623
2000-10-01;122,827993;130,675865;144,732613;104,632799;125,929169
2000-11-01;111,4447;136,460486;135,127285;84,789358;124,248279
2000-12-01;83,555448;159,08053;116,818266;93,844935;114,47235
2001-01-01;92,428894;151,833285;143,805197;101,979414;121,484862
2001-02-01;100,329759;138,089564;134,22145;92,863167;108,307351
2001-03-01;112,198084;148,664023;143,611056;101,554053;122,347764
2001-04-01;109,838957;120,834104;129,319715;110,308338;119,439888
2001-05-01;115,034346;125,042726;135,994912;109,68096;126,700438
2001-06-01;126,333869;131,36983;142,928824;99,307494;120,318058
2001-07-01;129,458363;132,701992;145,581862;105,193564;119,548539
2001-08-01;92,304983;93,952471;94,254278;113,73687;116,854223
2001-09-01;113,097432;148,720758;131,681713;103,815466;113,113988
2001-10-01;128,600508;144,807954;128,182572;123,083493;133,145577
2001-11-01;108,607259;145,528597;122,791765;114,798906;122,855007
2001-12-01;71,275023;138,436373;89,599631;104,887404;116,095342
2002-01-01;86,518389;129,374979;127,007604;118,477561;121,618609
2002-02-01;94,850471;140,476507;112,416065;102,997582;106,449961
2002-03-01;109,591079;140,257769;117,981038;110,195113;118,786657
2002-04-01;118,196293;136,635543;115,166871;111,907689;119,50338
2002-05-01;106,199678;110,462688;122,996074;112,826563;117,807368
2002-06-01;120,928456;141,386151;107,85398;98,270947;107,349543
2002-07-01;131,089699;128,717761;128,670775;112,088259;117,56849
2002-08-01;77,302651;76,719305;73,129366;110,055432;104,914923
2002-09-01;116,099545;141,34854;115,593024;108,272891;110,163543
2002-10-01;121,18423;133,933672;128,192598;118,693393;121,026944
2002-11-01;97,276791;132,660369;108,806734;103,989179;106,597865
2002-12-01;76,854542;145,99499;93,636229;109,52854;114,620551
2003-01-01;76,001083;131,305009;133,749649;115,577022;112,331379
2003-02-01;90,905898;117,508885;125,452034;102,647304;102,553486
2003-03-01;112,097062;126,444621;138,967886;110,478914;109,176404
2003-04-01;118,096136;114,214435;128,117536;117,561691;115,244065
2003-05-01;102,791521;118,437969;123,936196;108,16323;108,556635
2003-06-01;120,18787;124,096352;130,280211;106,487222;107,005239
2003-07-01;125,511007;118,549268;140,777812;109,784798;109,421771
2003-08-01;74,105123;83,93784;87,024104;101,341295;95,203454
2003-09-01;122,783257;141,251975;133,389737;112,517872;111,057766
2003-10-01;128,683884;123,746902;142,097358;116,335022;116,798757
2003-11-01;102,077007;133,131716;121,586603;100,577511;103,48256
2003-12-01;81,177891;139,200416;108,769432;112,177645;117,915268
2004-01-01;81,562642;116,953636;132,154278;109,564317;107,720793
2004-02-01;97,007644;143,425727;117,115469;98,541873;99,261559
2004-03-01;121,225824;137,511537;130,280198;117,037493;119,708341
2004-04-01;117,238946;118,963863;124,691218;108,138464;108,850963
2004-05-01;107,301048;138,907208;112,677744;98,738451;100,705357
2004-06-01;131,766314;139,775228;138,356391;109,667741;115,527533
2004-07-01;120,105776;123,747644;135,35316;101,012077;101,272515
2004-08-01;81,48947;93,90693;90,08142;107,552098;102,092852
2004-09-01;120,984384;139,676116;141,472418;106,984127;106,762565
2004-10-01;114,532524;128,780196;127,880263;105,109305;103,974811
2004-11-01;104,82212;135,161244;132,268822;105,6518;104,894777
2004-12-01;81,905938;144,316362;107,83561;108,892696;111,68605
2005-01-01;86,073205;138,82341;132,751001;105,160379;102,122535
2005-02-01;89,056651;136,275852;126,153172;95,658555;95,805622
2005-03-01;107,846019;145,516802;141,544987;114,760288;113,134121
