;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2025-11-01;74,833619;85,194268;90,594073;89,758536;100,439177;100,32232;94,969948;110,954494;80,628197;92,799261
2025-12-01;75,500064;81,877427;91,546468;90,387614;99,067345;100,556359;95,662843;110,396429;82,944343;95,60265
2026-01-01;76,891996;86,041065;87,61727;89,881641;97,824344;100,825309;94,084322;112,895042;81,271256;97,775352
2026-02-01;75,137873;81,98192;88,100295;89,526687;97,282372;100,730737;94,676498;112,237145;81,169672;97,519099
2026-03-01;75,880333;81,048622;87,206736;90,157327;97,611149;100,748556;94,353166;110,758882;79,538577;98,57299
2026-04-01;74,983751;87,316669;86,695616;89,411408;97,15313;102,373099;94,229421;111,596072;80,62371;97,533393
2026-05-01;75,512;82,262917;88,059811;91,095439;96,509517;101,489194;94,703676;111,095688;79,585776;98,142428
2026-06-01;74,889806;83,992539;85,933087;89,474806;96,323291;101,505838;93,545679;111,894116;80,211355;98,970186
2026-07-01;74,081734;78,456328;87,776425;89,632489;94,824877;101,671132;94,893539;113,11502;79,612365;98,573574
2026-08-01;73,091187;76,864975;85,971521;90,692888;96,338282;101,702865;94,578107;110,881514;79,849396;101,451535
2026-09-01;73,696119;82,528297;87,414293;89,084224;96,367355;101,522037;95,328442;112,146752;79,249347;99,626275
2026-10-01;73,415134;82,43325;88,12621;88,752332;96,031263;101,91149;94,730292;113,926878;78,287238;99,360256
