;span.start;span.end;span.n;arima;arima.mean;arima.p;arima.d;arima.q;arima.bp;arima.bd;arima.bq;m-statistics.m7;m-statistics.q;m-statistics.q-m2;diagnostics.out-of-sample.mean;;diagnostics.out-of-sample.mse;;diagnostics.fcast-outsample-mean;;diagnostics.fcast-outsample-variance;;regression.nout;residuals.kurtosis;;;residuals.skewness;;;residuals.lb2;;;diagnostics.seas-sa-qs;;diagnostics.seas-sa-qs;diagnostics.seas-sa-f;;diagnostics.seas-i-qs;;diagnostics.seas-i-qs;diagnostics.seas-i-f;;diagnostics.td-sa-last;;diagnostics.td-i-last;;residuals.lb;;;residuals.dh;;;residuals.doornikhansen;;
IPI_nace4 * RF1011 (frozen);1990-01-01;2024-04-01;412;;;0;1;1;0;1;1;0,22175445;0,610005657;0,635719974;;;;;-0,668833;0,504;2,164362;0,004;3;4,093464;0;Normal with Mean = 3.0 and Stdev = 0.24525573579398632;0,393005;0,0014;Normal with Mean = 0.0 and Stdev = 0.12262786789699316;41,417934;0,0073;Chi2 with 22.0 degrees of freedom ;0;1;;0,496419;0,9054;0;1;;0,902842;0,5376;0,009286;1;0,025341;0,9999;29,273464;0,1372;Chi2 with 22.0 degrees of freedom ;;;;17,05535;0,0002;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF1051 (frozen);1990-01-01;2024-04-01;412;;;1;1;1;0;1;1;0,111475578;0,304140465;0,33083725;;;;;-2,0315;0,0429;1,051604;0,4006;2;3,676114;0,0058;Normal with Mean = 3.0 and Stdev = 0.24525573579398632;0,14244;0,2454;Normal with Mean = 0.0 and Stdev = 0.12262786789699316;27,303349;0,161;Chi2 with 21.0 degrees of freedom ;0;1;;0,404034;0,9541;0;1;;0,490714;0,909;0,011232;1;0,032971;0,9998;26,787903;0,178;Chi2 with 21.0 degrees of freedom ;;;;8,424473;0,0148;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF1081 (frozen);1990-01-01;2024-04-01;412;;;0;1;1;0;1;1;0,380772467;0,857679047;0,902963711;;;;;1,467662;0,143;0,499263;0,9582;14;3,663678;0,0068;Normal with Mean = 3.0 and Stdev = 0.24525573579398632;0,117265;0,3389;Normal with Mean = 0.0 and Stdev = 0.12262786789699316;35,710297;0,0326;Chi2 with 22.0 degrees of freedom ;0;1;;0,24979;0,9934;0;1;;0,295034;0,9867;0,006043;1;0,003845;1;35,830333;0,0317;Chi2 with 22.0 degrees of freedom ;;;;8,127039;0,0172;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF1086 (frozen);1990-01-01;2024-04-01;412;;;0;1;1;1;1;1;0,49513059;0,7938768;0,8199345;;;;;-0,743906;0,4574;1,676815;0,041;0;3,474375;0,0531;Normal with Mean = 3.0 and Stdev = 0.24525573579398632;0,029469;0,8101;Normal with Mean = 0.0 and Stdev = 0.12262786789699316;20,167407;0,5107;Chi2 with 21.0 degrees of freedom ;0;1;;0,427865;0,9435;0;1;;0,321427;0,9811;0,015685;1;0,025656;0,9999;24,675944;0,2615;Chi2 with 21.0 degrees of freedom ;;;;4,64613;0,098;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF1200 (frozen);1990-01-01;2024-04-01;412;;;1;0;1;0;1;1;0,442101209;1,244793176;1,027857501;;;;;1,717138;0,0868;0,298473;0,998;28;3,061997;0,8002;Normal with Mean = 3.0 and Stdev = 0.2449489742783178;0,026676;0,8276;Normal with Mean = 0.0 and Stdev = 0.1224744871391589;59,16158;0;Chi2 with 21.0 degrees of freedom ;0;1;;0,619067;0,8128;0;1;;0,991849;0,453;0,009361;1;0,013197;1;25,489882;0,2266;Chi2 with 21.0 degrees of freedom ;;;;0,333585;0,8464;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF1391 (frozen);1990-01-01;2024-04-01;412;;;1;0;1;0;1;1;0,239792434;0,406470479;0,451920631;;;;;0,92295;0,3566;1,434353;0,1117;2;4,100457;0;Normal with Mean = 3.0 and Stdev = 0.2449489742783178;-0,068365;0,5767;Normal with Mean = 0.0 and Stdev = 0.1224744871391589;77,135054;0;Chi2 with 21.0 degrees of freedom ;0;1;;0,730393;0,7094;0,222339;0,8948;;0,724708;0,7149;0,102704;0,9961;0,109445;0,9953;19,723665;0,5388;Chi2 with 21.0 degrees of freedom ;;;;18,288599;0,0001;Chi2 with 2.0 degrees of freedom 
RF1039 (frozen);1990-01-01;2025-10-01;430;;;3;0;1;0;1;1;0,215539427;0,275544512;0,312769019;;;;;-0,747964;0,4549;1,738364;0,031;17;3,996095;0;Normal with Mean = 3.0 and Stdev = 0.23961691914926153;-0,094817;0,4287;Normal with Mean = 0.0 and Stdev = 0.11980845957463077;117,285669;0;Chi2 with 19.0 degrees of freedom ;0;1;;0,80911;0,631;0;1;;0,873727;0,5663;0,050817;0,9995;0,066228;0,9989;40,144883;0,0031;Chi2 with 19.0 degrees of freedom ;;;;16,059848;0,0003;Chi2 with 2.0 degrees of freedom 
RF1041 (frozen);1990-01-01;2025-10-01;430;;;0;1;2;0;1;1;0,319717813;0,621134348;0,67045678;;;;;-0,161515;0,8718;1,272925;0,2015;4;4,724518;0;Normal with Mean = 3.0 and Stdev = 0.23990405756162686;-0,039184;0,7439;Normal with Mean = 0.0 and Stdev = 0.11995202878081343;33,276064;0,0432;Chi2 with 21.0 degrees of freedom ;2,259121;0,3232;;0,41337;0,9501;2,288918;0,3184;;0,549896;0,8687;1,054531;0,3894;1,089525;0,3678;21,826323;0,4096;Chi2 with 21.0 degrees of freedom ;;;;39,017767;0;Chi2 with 2.0 degrees of freedom 
RF1042 (frozen);1990-01-01;2025-10-01;430;;;0;1;1;1;1;1;0,332950601;1,091496971;1,066327982;;;;;-0,152551;0,8788;1,019203;0,4365;3;2,974128;0,9141;Normal with Mean = 3.0 and Stdev = 0.23990405756162686;0,084398;0,4817;Normal with Mean = 0.0 and Stdev = 0.11995202878081343;40,523421;0,0064;Chi2 with 21.0 degrees of freedom ;5,082973;0,0787;;0,349882;0,9735;0,414486;0,8128;;0,439593;0,9378;0,023999;0,9999;0,03029;0,9999;23,314807;0,3274;Chi2 with 21.0 degrees of freedom ;;;;0,516241;0,7725;Chi2 with 2.0 degrees of freedom 
RF1051 (frozen);1990-01-01;2025-10-01;430;;;1;1;1;0;1;1;0,099203318;0,329070215;0,358188233;;;;;0,373041;0,7093;0,83767;0,6555;1;3,5306;0,027;Normal with Mean = 3.0 and Stdev = 0.23990405756162686;-0,006144;0,9591;Normal with Mean = 0.0 and Stdev = 0.11995202878081343;28,306822;0,1317;Chi2 with 21.0 degrees of freedom ;0;1;;0,340543;0,9762;0;1;;0,459406;0,9274;0,021203;1;0,042096;0,9997;25,617587;0,2214;Chi2 with 21.0 degrees of freedom ;;;;5,728897;0,057;Chi2 with 2.0 degrees of freedom 
