;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1990-01-01;111,206712;85,208724;184,66761;46,42588;837,444114;850,424783;47,057409;47,470102;602,493255;85,687377;54,712664
1990-02-01;94,587681;78,225348;277,860449;43,185761;786,200359;432,494004;40,512867;47,3016;452,669138;78,66587;59,421029
1990-03-01;108,334131;90,510094;285,187382;51,264734;871,914491;559,654241;39,859427;51,481203;489,432531;91,018769;90,251669
1990-04-01;108,105499;89,867624;253,266484;57,334131;763,73306;677,923256;33,158281;42,360774;419,706405;90,368994;115,145836
1990-05-01;110,349641;93,957025;242,164195;58,657012;704,949064;686,850862;41,619661;42,355283;416,935831;94,481067;122,264492
1990-06-01;105,19145;86,40214;258,32676;58,590912;731,417081;601,872614;116,689121;29,070044;500,69243;86,882028;129,69543
1990-07-01;110,516772;83,777464;191,012806;51,435428;665,09269;448,162101;158,929263;21,852468;506,872943;84,245164;109,066474
1990-08-01;114,674447;75,405457;72,215419;39,280843;295,306027;128,843517;209,739432;42,129894;436,578494;75,833525;61,731744
1990-09-01;105,089345;70,340042;219,223309;51,804569;763,117517;713,400837;226,171655;47,386554;464,3908;70,741601;54,507477
1990-10-01;121,784953;83,440618;300,779672;50,315288;880,070428;731,489531;131,690858;52,404347;588,1431;83,914326;45,727357
1990-11-01;115,295984;80,978786;271,984458;50,215077;778,659964;574,381917;85,40863;45,976949;528,327106;81,435247;44,162465
1990-12-01;107,938516;79,04567;225,445788;30,78053;540,75327;365,456746;52,303502;45,156396;458,81413;79,488042;37,033822
1991-01-01;120,68655;87,770986;311,499372;46,535905;819,593383;838,221577;48,73924;49,666771;505,061413;88,266719;56,580664
1991-02-01;101,149124;77,701465;324,384675;56,377883;714,797589;399,062741;42,298343;43,845853;466,30889;78,142146;59,191495
1991-03-01;113,284206;85,84053;308,93675;60,977578;732,340395;541,060729;41,835491;47,647167;492,025505;86,326651;85,674819
1991-04-01;114,492417;89,695852;271,796773;65,770416;719,875814;634,832652;34,772955;51,243306;510,069759;90,199501;116,384353
1991-05-01;113,209681;93,469938;202,28113;57,766327;515,362144;574,217084;43,305435;42,106342;383,511365;93,994487;121,634523
1991-06-01;105,397101;85,470894;279,968296;56,804032;703,717979;492,865968;125,116663;39,600258;464,746002;85,946637;129,610991
1991-07-01;119,962274;83,835333;195,63997;53,879514;606,616158;416,063872;166,419428;24,000664;443,043168;84,306139;111,369631
1991-08-01;114,452595;76,30224;101,537588;36,107006;211,90018;119,558618;213,309131;47,137727;397,506289;76,735736;62,471297
1991-09-01;115,739968;73,447551;252,205342;49,101134;720,645242;657,873964;233,548014;53,38291;506,801902;73,868111;57,356503
1991-10-01;125,536592;84,515592;315,144792;49,540076;809,898743;685,553529;133,013637;54,036318;603,843022;84,997842;46,573222
1991-11-01;107,45537;80,790095;273,319909;44,633958;702,64078;549,034359;85,955203;50,746172;532,021205;81,248071;44,232203
1991-12-01;115,588623;81,254705;216,155382;30,340008;551,217492;374,779214;53,591076;46,86017;513,692789;81,712031;38,117076
1992-01-01;121,898097;87,217895;278,156414;42,27581;769,426827;765,698151;49,555463;55,776437;528,007424;87,710634;56,400008
1992-02-01;101,664459;81,941983;276,048567;42,799497;743,881816;430,950336;42,933771;54,466241;471,388276;82,405966;62,426699
1992-03-01;120,037109;87,926541;304,699401;51,997793;818,362298;517,629193;42,124562;58,049878;416,012306;88,425697;88,528802
1992-04-01;122,160631;90,019019;273,767466;52,802138;758,80872;684,099836;34,906308;55,376123;546,868643;90,526923;117,474223
1992-05-01;105,100331;86,892341;192,954631;59,786114;630,776199;511,623791;43,830234;51,813228;381,451194;87,379619;114,175935
1992-06-01;117,560923;84,760897;257,561582;62,121725;785,430931;447,660215;127,697935;47,99248;444,570536;85,237345;131,210832
1992-07-01;116,320547;81,019847;195,603876;50,245072;624,159118;340,041843;172,064813;21,350799;384,967692;81,478038;108,906258
1992-08-01;111,106201;72,853899;49,281751;39,114846;206,514183;97,67812;223,694659;36,737324;447,767352;73,269895;60,163988
1992-09-01;119,111844;77,51317;270,078734;43,871355;797,126237;586,775958;243,523427;44,726892;525,27237;77,957035;60,279162
1992-10-01;113,518817;82,225827;283,620934;48,024687;815,900128;510,213852;138,962832;50,395703;590,309831;82,69405;45,071044
1992-11-01;112,37531;80,076131;266,888089;39,827256;744,497358;519,380262;89,364374;48,750828;523,567401;80,530306;43,983573
1992-12-01;120,241265;83,030851;232,325164;41,904049;611,848269;373,756989;54,803971;44,150485;483,642741;83,499057;39,25277
1993-01-01;106,934447;83,929138;263,632477;43,584196;720,337471;705,377791;48,554937;47,84351;567,718993;84,403838;54,39714
1993-02-01;101,894002;80,211746;288,717303;32,715122;670,478687;363,072351;41,548704;48,95561;469,043944;80,668165;61,618677
1993-03-01;121,31379;93,20925;312,307861;41,182383;719,106386;511,652765;40,482953;46,239907;469,079464;93,739367;93,916629
1993-04-01;108,264768;91,693703;259,922082;41,906443;644,318133;562,172003;33,61969;40,766119;468,29802;92,2106;119,304097
1993-05-01;102,517849;89,309898;204,475601;38,055559;550,90972;512,139612;42,089996;37,126235;375,483802;89,811751;116,83402
1993-06-01;117,710349;86,973304;264,101689;56,403668;710,488792;461,583789;120,404551;26,212307;462,153028;87,463938;135,583176
1993-07-01;106,850253;82,005465;150,212979;44,864809;518,593742;428,279407;160,661651;16,155673;356,267382;82,468718;109,432461
1993-08-01;113,427968;77,122694;87,078626;37,388633;284,380149;59,567742;206,910088;37,340059;428,053649;77,563426;63,582778
1993-09-01;114,469921;78,764141;258,413383;39,864223;756,192665;667,737332;227,115102;49,56127;447,163509;79,215671;61,235482
1993-10-01;108,616043;82,30822;261,36582;39,234636;718,644729;600,319006;130,621726;49,829112;514,651834;82,776821;45,019407
1993-11-01;112,55542;84,253675;248,350581;37,259397;616,00318;525,122262;84,96276;44,318265;483,5717;84,73217;46,386625
