;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
1990-01-01;-19,165356;11,933165;3,700017;1,04157;-0,994792
1990-02-01;-13,895801;-1,672778;-5,322918;0,886478;-7,945744
1990-03-01;7,077381;-3,298319;7,221583;1,022155;3,423517
1990-04-01;7,077252;1,683117;3,7451;1,006408;1,548237
1990-05-01;3,493018;-17,31913;-1,436475;1,002155;1,216596
1990-06-01;18,66635;2,30256;7,524039;0,981961;4,20157
1990-07-01;15,103051;-1,08858;32,303913;1,010548;-3,774525
1990-08-01;-17,905171;-36,454964;-65,158018;1,002212;-7,228187
1990-09-01;8,792356;16,620414;7,920994;1,010009;1,078844
1990-10-01;15,73074;6,103293;12,901674;1,044008;4,48275
1990-11-01;-0,738524;11,721494;3,857502;0,994329;0,050292
1990-12-01;-23,683022;9,594598;-7,239393;1,0009;3,926766
1991-01-01;-19,612984;11,844747;3,233722;1,034806;-1,078284
1991-02-01;-14,341277;-2,100445;-5,208096;0,888725;-8,093817
1991-03-01;7,094508;-3,546266;7,676327;1,029508;3,524462
1991-04-01;6,706485;1,958272;3,517326;1,000764;1,45789
1991-05-01;3,857111;-16,671872;-1,293004;1,002087;1,465577
1991-06-01;19,082237;3,127864;8,164804;0,986185;4,685088
1991-07-01;14,665208;-1,255379;32,009354;1,002387;-4,031075
1991-08-01;-17,451088;-37,217187;-65,130738;1,007704;-7,155565
1991-09-01;9,0993;16,017162;8,45774;1,012192;0,94824
1991-10-01;15,685352;6,145792;11,987575;1,038421;4,269839
1991-11-01;-0,727487;11,06809;3,342118;0,996625;-0,028428
1991-12-01;-23,65353;10,770965;-7,437806;1,001573;3,722692
1992-01-01;-19,828594;11,739499;2,567314;1,025603;-0,77413
1992-02-01;-14,625748;-2,861697;-4,644665;0,892861;-8,268891
1992-03-01;6,699957;-3,446127;8,51171;1,041146;3,275166
1992-04-01;6,72756;2,296857;3,120753;0,991129;1,874283
1992-05-01;4,012255;-15,803766;-1,117718;1,005046;1,616223
1992-06-01;19,172468;4,485696;9,728971;0,993114;4,718982
1992-07-01;14,881806;-2,03795;31,623235;0,989765;-3,796563
1992-08-01;-17,481778;-37,644553;-64,743579;1,014312;-7,429584
1992-09-01;9,497025;15,192906;9,139889;1,015453;0,725412
1992-10-01;16,09417;5,370178;10,048342;1,030164;4,525631
1992-11-01;-1,335076;9,258402;1,919886;0,995983;-0,356032
1992-12-01;-23,883056;12,644617;-7,695278;1,004138;3,784883
1993-01-01;-19,796022;12,432464;1,813205;1,018852;-0,575015
1993-02-01;-14,580891;-3,480881;-3,568195;0,899044;-8,467437
1993-03-01;6,462133;-2,17913;9,817758;1,049459;2,95589
1993-04-01;6,86876;2,57336;2,501611;0,982273;2,55479
1993-05-01;3,709209;-15,054723;-0,640031;1,011412;1,364563
1993-06-01;19,243017;5,241836;11,185319;0,998242;4,548857
1993-07-01;15,324066;-3,750002;30,485269;0,976792;-3,289263
1993-08-01;-17,792118;-38,062683;-62,661123;1,020166;-7,894083
1993-09-01;10,151911;13,961707;9,606582;1,016557;0,839419
1993-10-01;16,389616;5,357974;8,663393;1,024522;4,825703
1993-11-01;-2,174847;7,422866;-0,09769;0,992125;-0,829516
1993-12-01;-23,778422;14,500693;-9,508017;1,007569;4,120781
1994-01-01;-20,017761;13,523339;0,992258;1,015833;-0,826175
1994-02-01;-14,466881;-4,304728;-1,891259;0,907998;-8,708774
1994-03-01;6,486257;0,128956;11,149171;1,051378;3,070936
1994-04-01;6,961931;2,171281;2,255286;0,974315;3,217365
1994-05-01;3,102551;-14,691704;-0,006047;1,017777;0,863426
1994-06-01;19,64861;5,766896;12,155636;1,00002;4,593035
1994-07-01;15,472689;-5,330391;29,028296;0,970702;-3,039822
1994-08-01;-18,061894;-38,859609;-59,619969;1,022397;-8,413529
1994-09-01;11,178276;13,086891;9,365927;1,016349;1,263844
1994-10-01;16,208896;5,731241;8,130124;1,024291;4,915564
1994-11-01;-2,90998;4,944236;-2,033883;0,982917;-1,160785
1994-12-01;-23,566433;16,309953;-11,835997;1,012163;4,527042
1995-01-01;-20,535228;15,749928;0,651776;1,01765;-1,401311
1995-02-01;-14,124928;-5,229681;-0,465668;0,914435;-8,865205
1995-03-01;7,161447;3,381126;11,748441;1,047098;3,536073
1995-04-01;6,670788;0,404123;2,311816;0,976361;3,484952
1995-05-01;2,51539;-14,069274;0,880781;1,018858;0,379018
1995-06-01;19,974837;4,93356;12,064393;0,996839;4,812897
1995-07-01;15,08281;-7,118669;27,120395;0,972493;-3,162745
1995-08-01;-18,014802;-39,356954;-55,660206;1,02072;-8,455388
1995-09-01;12,107623;12,493364;8,677489;1,014768;1,618955
1995-10-01;15,656969;7,071358;9,241026;1,026999;4,829473
1995-11-01;-3,099482;3,512749;-3,524726;0,974074;-1,16945
1995-12-01;-23,251513;17,647611;-14,744325;1,017811;4,60007
1996-01-01;-20,80329;17,161428;0,869385;1,0202;-1,856772
1996-02-01;-13,756053;-5,831461;0,518309;0,919187;-8,950137
1996-03-01;7,418538;6,146859;11,531483;1,039248;3,939997
1996-04-01;6,055218;-2,611787;2,744002;0,982548;3,38573
1996-05-01;2,333736;-13,200356;1,080682;1,015736;0,503622
1996-06-01;20,05579;4,056318;11,529583;0,992376;4,832508
1996-07-01;14,896987;-7,964557;25,452646;0,981262;-3,468676
1996-08-01;-17,688588;-39,196047;-51,853965;1,016353;-8,233657
1996-09-01;12,4881;12,921673;7,922997;1,012989;1,410526
1996-10-01;15,317462;7,391114;10,265766;1,028532;5,048692
1996-11-01;-3,132396;2,150811;-4,098787;0,967326;-0,955811
1996-12-01;-23,298765;18,506151;-16,747685;1,023184;4,278834
1997-01-01;-20,815855;17,206811;1,689704;1,019888;-1,613383
1997-02-01;-13,222008;-4,296212;0,873512;0,921901;-9,228329
1997-03-01;7,584476;7,358941;11,233837;1,033058;4,087896
1997-04-01;5,514571;-5,126502;2,963595;0,99546;3,206863
1997-05-01;2,419065;-11,85324;0,585443;1,012107;1,075999
1997-06-01;19,59149;2,571754;10,194344;0,987314;4,049518
1997-07-01;15,014529;-8,36225;23,472487;0,987946;-3,340178
1997-08-01;-17,751674;-39,421457;-48,284795;1,011682;-7,825053
1997-09-01;12,479392;13,308711;8,014609;1,011127;0,796739
1997-10-01;15,638117;7,129142;11,492311;1,02295;5,573801
1997-11-01;-2,867504;2,933289;-3,908758;0,965586;-0,816735
1997-12-01;-23,634896;19,002079;-18,173926;1,030382;3,713361
1998-01-01;-20,821111;16,087483;2,643315;1,018382;-0,978608
1998-02-01;-12,769402;-2,053743;0,710256;0,925004;-9,417054
1998-03-01;7,124452;7,207933;10,823148;1,02901;3,925978
1998-04-01;5,821064;-7,476915;2,681647;1,007625;3,375061
1998-05-01;2,322558;-10,974893;-0,142813;1,009581;1,525836
1998-06-01;18,972152;1,763149;9,241605;0,981538;2,811846
1998-07-01;15,903841;-7,135554;21,452761;0,988643;-2,815207
1998-08-01;-18,605051;-40,07659;-45,110515;1,01135;-7,689061
1998-09-01;12,583542;13,865779;8,39423;1,005855;0,089928
1998-10-01;16,554012;6,3482;11,429161;1,017006;6,446649
1998-11-01;-3,174972;3,935562;-2,57891;0,97284;-0,956201
1998-12-01;-24,337607;19,251151;-19,225605;1,032485;3,667524
1999-01-01;-21,025113;13,738906;4,131073;1,018132;-0,437613
1999-02-01;-12,38474;0,347409;0,158529;0,926462;-9,63073
1999-03-01;7,231503;6,734469;10,315918;1,02852;3,604654
1999-04-01;6,847589;-8,966771;1,972543;1,018023;3,733996
1999-05-01;1,815737;-9,116103;-0,473542;1,009594;1,485094
1999-06-01;18,588574;1,267274;8,488325;0,970373;1,524413
1999-07-01;16,724487;-5,960147;19,68694;0,985263;-2,05739
1999-08-01;-19,992723;-41,696832;-42,723644;1,015643;-7,547339
1999-09-01;12,954726;13,538376;8,689091;0,999082;-0,044616
1999-10-01;16,93509;5,772091;11,198557;1,015827;6,837043
1999-11-01;-3,546974;5,620887;-1,679051;0,981634;-1,345844
1999-12-01;-24,665413;20,102278;-20,078864;1,028889;4,096123
2000-01-01;-21,251842;11,16146;5,88572;1,022335;-0,482379
2000-02-01;-11,805733;1,459896;-0,149722;0,928422;-9,595126
2000-03-01;7,370823;6,233188;10,205338;1,025341;3,627132
2000-04-01;7,636389;-9,9005;1,133256;1,024432;3,856006
2000-05-01;1,419891;-7,556285;-0,708108;1,010882;1,297942
2000-06-01;18,580433;1,576455;8,211908;0,959296;0,756788
2000-07-01;16,990111;-4,483087;18,140021;0,980815;-2,036529
2000-08-01;-21,010443;-42,523329;-40,620016;1,022241;-7,097186
2000-09-01;13,511772;13,443262;8,552941;0,992148;0,215529
2000-10-01;16,580853;4,698906;10,328015;1,022828;6,614641
2000-11-01;-3,604714;6,180444;-1,034688;0,987566;-1,293029
2000-12-01;-24,849363;19,967266;-20,667823;1,01996;4,616001
2001-01-01;-21,45743;8,287132;7,576718;1,026831;-0,891986
2001-02-01;-11,571473;2,781909;-0,38065;0,929278;-9,589636
2001-03-01;7,837868;6,044807;10,385077;1,025083;4,028004
2001-04-01;7,806459;-9,6014;0,61218;1,026694;3,321401
2001-05-01;1,717942;-5,138943;-0,984415;1,014929;1,367338
2001-06-01;19,054066;2,210809;8,061352;0,950087;0,459178
2001-07-01;16,363662;-4,064266;16,591157;0,97679;-2,659792
2001-08-01;-21,448831;-43,431561;-38,907595;1,025949;-6,079573
2001-09-01;13,569831;12,593295;8,618542;0,988956;0,37975
2001-10-01;15,621511;3,672274;9,830711;1,031266;5,962713
2001-11-01;-2,773219;6,666805;-0,848501;0,986256;-0,773775
2001-12-01;-24,892869;19,296408;-21,072297;1,013967;4,852711
2002-01-01;-21,603215;6,895969;8,506535;1,032015;-1,06188
2002-02-01;-11,375768;2,930692;-0,792175;0,928124;-9,528051
2002-03-01;7,961086;6,426426;10,381209;1,026617;4,300508
2002-04-01;7,620707;-9,065064;0,741194;1,027156;2,395871
2002-05-01;2,492521;-3,35481;-0,980822;1,014771;1,738706
2002-06-01;19,359861;3,06239;8,331545;0,94859;0,267072
2002-07-01;15,765673;-3,560856;15,087218;0,971387;-3,437644
2002-08-01;-21,617027;-43,510333;-37,019656;1,026892;-4,876884
2002-09-01;13,140976;12,488758;8,635207;0,990694;0,211752
2002-10-01;15,098628;2,017418;8,755853;1,037165;5,510835
2002-11-01;-1,696769;6,250504;-0,568296;0,985615;-0,138637
2002-12-01;-25,587527;17,818976;-20,825961;1,011542;4,801088
2003-01-01;-21,664807;6,100944;8,523114;1,030873;-0,717049
2003-02-01;-10,952857;2,829881;-1,769353;0,92338;-9,31147
2003-03-01;8,022179;7,118485;10,414749;1,037937;3,86814
2003-04-01;7,669687;-8,292292;1,083402;1,020183;1,697691
2003-05-01;3,072547;-1,022837;-0,685317;1,014616;1,97141
2003-06-01;19,323936;3,932145;9,260834;0,954716;-0,201842
2003-07-01;15,773772;-4,038885;13,495084;0,963294;-3,573649
2003-08-01;-22,242316;-42,793333;-35,667004;1,02678;-3,987549
2003-09-01;12,698637;11,873315;8,827107;0,996051;-0,107202
2003-10-01;15,407867;-0,067887;7,467534;1,035996;5,576954
2003-11-01;-1,011908;5,575266;-0,709021;0,986574;0,140576
