;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
2024-05-01;2,959315;4,244484;0,196307;1,002201;-1,238073
2024-06-01;21,326871;-2,34305;2,457539;1,033037;-1,004553
2024-07-01;12,503111;4,778786;0,358985;0,939519;-2,782374
2024-08-01;-23,359117;-45,386708;-16,153261;1,007067;1,380325
2024-09-01;7,675363;4,47053;6,024017;0,979613;2,412402
2024-10-01;12,643696;6,063268;7,564091;0,993831;6,073215
2024-11-01;0,588337;2,343547;-0,81313;0,992082;2,208289
2024-12-01;-29,527741;1,069838;-21,849834;1,005487;8,918466
2025-01-01;-20,375095;15,566223;3,804186;1,033442;0,105765
2025-02-01;-8,700117;5,7276;3,049506;0,935378;-10,040869
2025-03-01;16,275658;10,743413;12,54436;1,084614;-0,092939
2025-04-01;8,08813;-7,385812;2,475084;0,993558;-6,336264
