;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
2024-05-01;101,687736;93,483124;99,461075;105,927004;91,247099
2024-06-01;118,386907;89,465348;104,611782;96,993797;85,863775
2024-07-01;125,843457;94,21033;107,382314;111,241614;93,294354
2024-08-01;76,67361;46,914839;82,36599;105,166556;88,721494
2024-09-01;110,776953;94,84991;107,915069;101,331381;88,938069
2024-10-01;119,780111;94,537761;108,422877;115,222315;97,557107
2024-11-01;102,039295;92,512616;98,56239;102,139642;88,702633
2024-12-01;72,795275;84,696255;83,779403;104,211668;96,726908
2025-01-01;83,54237;105,112023;104,604745;111,571743;89,796138
2025-02-01;92,103544;96,918864;103,24336;96,004889;77,61493
2025-03-01;114,310236;98,85591;112,20102;109,700565;86,948172
2025-04-01;114,004513;86,997004;106,319292;108,894472;84,605168
