;span.start;span.end;span.n;arima;arima.mean;arima.p;arima.d;arima.q;arima.bp;arima.bd;arima.bq;m-statistics.m7;m-statistics.q;m-statistics.q-m2;diagnostics.out-of-sample.mean;;diagnostics.out-of-sample.mse;;diagnostics.fcast-outsample-mean;;diagnostics.fcast-outsample-variance;;regression.nout;residuals.kurtosis;;;residuals.skewness;;;residuals.lb2;;;diagnostics.seas-sa-qs;;diagnostics.seas-sa-qs;diagnostics.seas-sa-f;;diagnostics.seas-i-qs;;diagnostics.seas-i-qs;diagnostics.seas-i-f;;diagnostics.td-sa-last;;diagnostics.td-i-last;;residuals.lb;;;residuals.dh;;;residuals.doornikhansen;;
RF0812 (frozen);2012-01-01;2025-10-01;166;;;0;1;1;0;1;1;0,118361173;0,370986518;0,404261256;;;;;-0,263411;0,7926;0,560074;0,9221;5;3,496619;0,2099;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;-0,201306;0,3094;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;23,181477;0,3915;Chi2 with 22.0 degrees of freedom ;0,275919;0,8711;;0,470087;0,9193;0;1;;0,817799;0,6223;1,693137;0,126;1,995699;0,0693;22,606725;0,4242;Chi2 with 22.0 degrees of freedom ;;;;3,2163;0,2003;Chi2 with 2.0 degrees of freedom 
RF0893 (frozen);2012-01-01;2025-10-01;166;;;0;1;1;0;1;1;0,456961044;1,147624479;1,116557281;;;;;-0,250897;0,8023;1,835508;0,0269;5;3,203219;0,6079;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;-0,182045;0,3579;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;16,91501;0,768;Chi2 with 22.0 degrees of freedom ;0,067307;0,9669;;0,541926;0,8721;0;1;;0,505324;0,8975;3,01716;0,0081;3,388018;0,0036;29,848214;0,1222;Chi2 with 22.0 degrees of freedom ;;;;1,484856;0,476;Chi2 with 2.0 degrees of freedom 
RF0899 (frozen);2012-01-01;2025-10-01;166;;;0;1;1;0;1;1;0,331750038;0,635047817;0,622194472;;;;;-0,275639;0,7833;1,238557;0,2398;7;3,406632;0,3046;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;0,086222;0,6633;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;28,225783;0,1683;Chi2 with 22.0 degrees of freedom ;0;1;;0,566327;0,8537;0;1;;0,677727;0,758;1,840764;0,0944;1,961917;0,0742;19,091325;0,6397;Chi2 with 22.0 degrees of freedom ;;;;2,325444;0,3126;Chi2 with 2.0 degrees of freedom 
RF1011 (frozen);2012-01-01;2025-10-01;166;;;3;1;1;0;1;1;0,375432852;0,998367882;1,041027766;;;;;0,190712;0,849;0,95061;0,5201;5;2,459311;0,1722;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;0,082426;0,6772;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;25,692582;0,139;Chi2 with 19.0 degrees of freedom ;0;1;;0,290629;0,9869;0;1;;0,467508;0,9208;9,598147;0;9,916515;0;42,516645;0,0015;Chi2 with 19.0 degrees of freedom ;;;;1,803785;0,4058;Chi2 with 2.0 degrees of freedom 
RF1012 (frozen);2012-01-01;2025-10-01;166;;;1;0;0;0;1;1;0,338668182;0,498404191;0,509385122;;;;;1,79608;0,0747;0,753652;0,7499;5;3,892933;0,0237;Normal with Mean = 3.0 and Stdev = 0.39477101697586137;-0,403923;0,0407;Normal with Mean = 0.0 and Stdev = 0.19738550848793068;11,816033;0,9611;Chi2 with 22.0 degrees of freedom ;0;1;;0,187271;0,9981;0;1;;0,211087;0,9967;4,116829;0,0007;3,304849;0,0043;28,377319;0,1635;Chi2 with 22.0 degrees of freedom ;;;;6,794231;0,0335;Chi2 with 2.0 degrees of freedom 
RF1013 (frozen);2012-01-01;2025-10-01;166;;;0;1;1;0;1;1;0,234092536;0,925460246;0,956117573;;;;;1,306672;0,1936;0,963004;0,5058;4;2,827198;0,6626;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;-0,281533;0,1551;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;29,238394;0,1382;Chi2 with 22.0 degrees of freedom ;0;1;;0,33171;0,9776;0;1;;0,358997;0,9695;5,25796;0,0001;5,295711;0,0001;21,104667;0,5143;Chi2 with 22.0 degrees of freedom ;;;;2,549014;0,2796;Chi2 with 2.0 degrees of freedom 
RF1020 (frozen);2012-01-01;2025-10-01;166;;;0;1;1;0;1;1;0,333848692;0,580414304;0,610513636;;;;;0,205969;0,8371;0,804099;0,6928;4;2,770078;0,5616;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;-0,12595;0,5248;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;47,220384;0,0014;Chi2 with 22.0 degrees of freedom ;0;1;;0,494209;0,9046;0;1;;0,476945;0,9153;1,971292;0,0728;2,275271;0,0391;22,039702;0,4575;Chi2 with 22.0 degrees of freedom ;;;;0,553076;0,7584;Chi2 with 2.0 degrees of freedom 
RF1031 (frozen);2012-01-01;2025-10-01;166;;;0;1;1;0;1;1;0,271233239;0,679315443;0,676261261;;;;;-1,076557;0,2836;0,688933;0,8174;7;2,774608;0,5693;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;-0,196696;0,3206;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;22,529693;0,4287;Chi2 with 22.0 degrees of freedom ;0;1;;0,57167;0,8495;0;1;;0,449594;0,9307;0,951863;0,4599;0,967082;0,4494;16,424184;0,7943;Chi2 with 22.0 degrees of freedom ;;;;1,307299;0,5201;Chi2 with 2.0 degrees of freedom 
RF1032 (frozen);2012-01-01;2025-10-01;166;;;0;1;1;0;1;1;0,535177802;0,675094796;0,674370128;;;;;-1,358897;0,1765;1,818633;0,0288;4;2,935789;0,8712;Normal with Mean = 3.0 and Stdev = 0.3960590171906697;0,226792;0,2521;Normal with Mean = 0.0 and Stdev = 0.19802950859533486;15,885386;0,8215;Chi2 with 22.0 degrees of freedom ;0;1;;0,543683;0,8708;0;1;;0,656607;0,7774;0,473262;0,8275;0,364075;0,9007;16,73902;0,7776;Chi2 with 22.0 degrees of freedom ;;;;1,411901;0,4936;Chi2 with 2.0 degrees of freedom 
RF1039 (frozen);2012-01-01;2025-10-01;166;;;1;0;0;0;1;1;0,146109472;0,598756681;0,667656978;;;;;-0,395654;0,693;2,212509;0,0054;5;3,085338;0,8289;Normal with Mean = 3.0 and Stdev = 0.39477101697586137;-0,158552;0,4218;Normal with Mean = 0.0 and Stdev = 0.19738550848793068;20,262608;0,5666;Chi2 with 22.0 degrees of freedom ;0;1;;0,837038;0,6034;0;1;;0,961287;0,4842;0,42038;0,8647;0,484088;0,8195;14,192762;0,8945;Chi2 with 22.0 degrees of freedom ;;;;0,943654;0,6239;Chi2 with 2.0 degrees of freedom 
