;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2012-01-01;-14,000709;19,027282;5,6372;1,037681;2,005047;1,000163;0,914347;-2,189404;0,999497;0,653205
2012-02-01;-6,066673;10,021097;-4,735937;0,971739;-6,965832;0,9583;0,952629;0,829749;0,948673;0,615367
2012-03-01;8,107795;3,972891;10,549579;1,044196;2,111323;0,995423;1,049836;8,032197;1,067802;0,61144
2012-04-01;10,692271;-14,365043;-2,738798;0,980101;-3,25792;0,96001;0,980191;10,257861;1,044858;0,542031
2012-05-01;-0,393176;-1,140423;0,564537;1,015454;-0,219873;0,989642;0,929513;7,222867;1,058602;0,557995
2012-06-01;15,329405;5,42324;1,711644;0,987565;-1,292009;0,988501;1,080408;8,496125;1,078412;1,005734
2012-07-01;19,92937;5,213399;6,530447;1,003631;0,482831;1,02573;1,05628;-17,189881;1,089663;1,490973
2012-08-01;-20,133782;-44,470592;-19,594855;1,009417;0,268629;1,037648;0,834349;1,596467;0,972741;1,669027
2012-09-01;2,810633;11,593498;-0,895397;0,942963;-6,262638;0,955919;1,002686;-5,086683;0,883558;1,839321
2012-10-01;17,460608;10,190802;18,49971;1,083468;9,303199;1,10674;1,115646;6,822818;1,005609;1,438025
2012-11-01;4,236626;8,892956;5,439565;1,000098;2,676855;1,050028;1,038178;-0,760753;0,961621;0,943297
2012-12-01;-33,573204;-11,732108;-25,755762;0,968778;3,529506;0,975963;1,075344;-13,766777;0,854562;0,648989
2013-01-01;-13,823222;19,325359;5,64379;1,038831;2,193775;0,999464;0,917167;-2,106498;1,026777;0,657028
2013-02-01;-11,494961;6,630731;1,701804;0,919626;-9,847494;0,910831;0,903072;-4,842058;0,915449;0,602877
2013-03-01;4,019348;3,508005;7,117605;1,009582;-1,861065;0,968773;1,013683;6,560389;1,000329;0,595232
2013-04-01;14,377375;-14,895727;1,021626;1,014923;0,75795;0,98647;1,015409;11,175251;1,101464;0,56259
2013-05-01;-0,120901;-1,449503;0,849321;1,012438;-0,49001;0,988647;0,931459;7,415775;1,053038;0,558803
2013-06-01;11,423672;5,511442;-1,864691;0,952099;-5,432917;0,963125;1,043307;7,974042;1,054296;0,973619
2013-07-01;23,574889;6,069757;10,179804;1,039682;4,420943;1,054122;1,095001;-15,656642;1,127144;1,533547
2013-08-01;-24,298069;-43,709324;-24,072182;0,975035;-3,725648;1,00887;0,811681;0,424744;0,910236;1,616117
2013-09-01;7,003978;11,395625;2,831473;0,980148;-1,9408;0,982923;1,036818;-3,917624;0,915661;1,899234
2013-10-01;17,273026;9,550493;17,846879;1,080492;9,279714;1,105877;1,107886;6,389442;1,042442;1,42519
2013-11-01;-3,548467;8,553763;-1,670373;0,929772;-5,322785;0,995091;0,964749;-3,1097;0,906514;0,881522
2013-12-01;-29,462573;-11,852191;-21,820371;1,005537;7,629103;1,004076;1,114522;-12,614816;0,920546;0,671846
2014-01-01;-13,702736;19,561488;5,115153;1,040074;2,440923;0,998806;0,921387;-2,089581;1,016975;0,662056
2014-02-01;-11,178332;6,574713;2,379255;0,919584;-9,884346;0,910506;0,897739;-5,146392;0,914417;0,609002
2014-03-01;3,936155;3,601792;7,84222;1,013174;-1,748477;0,968737;1,0124;5,841984;0,999974;0,603387
2014-04-01;13,772807;-16,288699;0,893739;1,012089;0,59839;0,986361;1,018846;11,123002;1,111155;0,567658
2014-05-01;0,366664;-1,949327;1,355538;1,008095;-1,045914;0,987964;0,935396;7,602692;0,980641;0,563139
2014-06-01;11,405948;5,720423;-1,59859;0,954075;-5,671614;0,965269;1,046767;9,024308;1,063111;0,982741
2014-07-01;19,132134;7,435038;5,844937;0,997944;0,280593;1,02514;1,057628;-16,273607;1,137162;1,465107
2014-08-01;-28,552797;-42,084345;-28,779659;0,941816;-7,506741;0,980112;0,791588;-0,330366;0,894402;1,561362
2014-09-01;11,045658;10,876132;6,960216;1,020182;2,58753;1,010116;1,072031;-2,553286;0,969059;1,948766
2014-10-01;17,015157;9,075376;16,527941;1,075471;9,065581;1,104785;1,093954;5,457235;1,010793;1,40695
2014-11-01;-2,928861;8,395585;-1,049115;0,933344;-5,242603;0,995391;0,959203;-3,598181;0,88654;0,886531
2014-12-01;-25,175336;-12,161533;-17,383598;1,044332;11,807349;1,034547;1,153106;-11,531867;0,936472;0,698686
2015-01-01;-17,832981;18,72947;0,625374;1,002484;-1,482625;0,972208;0,89483;-3,254386;0,958267;0,645312
2015-02-01;-10,669976;6,540632;2,575136;0,919611;-9,866634;0,909492;0,894807;-5,721429;0,914083;0,616504
2015-03-01;7,986814;4,516817;11,985451;1,055755;2,589547;0,995566;1,049816;6,611178;1,055915;0,637225
2015-04-01;12,891213;-16,794374;1,323855;1,010113;0,500059;0,9864;1,023561;10,821824;1,115728;0,576109
2015-05-01;-7,219188;-3,952098;-5,319847;0,930301;-9,81674;0,933909;0,874685;5,757188;0,962429;0,532104
2015-06-01;19,320607;6,860618;6,112745;1,029275;2,130532;1,022054;1,128406;12,415539;1,154267;1,059583
2015-07-01;18,806031;8,96392;5,175831;0,993316;0,273732;1,024926;1,053748;-15,614721;1,072253;1,443411
2015-08-01;-24,852448;-39,716559;-25,743976;0,981967;-3,348098;1,005035;0,829563;1,500735;0,928442;1,609115
2015-09-01;10,929506;9,699172;7,326412;1,021883;3,099908;1,009478;1,070684;-2,297603;0,987914;1,939411
2015-10-01;12,88333;8,02258;11,186624;1,033332;4,919013;1,074796;1,044589;3,233282;0,970393;1,337946
2015-11-01;1,949554;8,496402;3,088408;0,972422;-1,254047;1,023475;0,986173;-2,802755;0,920709;0,921116
2015-12-01;-24,764691;-11,811949;-16,630871;1,043812;11,852514;1,037464;1,144489;-12,064678;1,00797;0,702315
2016-01-01;-22,344341;17,547271;-3,975315;0,965601;-5,38158;0,947312;0,873249;-4,555853;0,945649;0,628534
2016-02-01;-4,631732;9,681363;-3,414454;0,971298;-6,987629;0,954878;0,941419;-1,122167;0,933162;0,641004
2016-03-01;8,454803;5,277488;12,759591;1,05923;2,701535;0,994768;1,050109;6,571296;1,101304;0,65339
2016-04-01;11,876084;-17,052138;1,346309;1,010939;0,574636;0,987119;1,028544;10,19232;1,047314;0,587609
2016-05-01;5,162055;-3,59441;6,786667;1,034916;1,858111;1,010518;0,975194;9,990962;1,070132;0,601241
2016-06-01;19,413062;7,569647;6,569343;1,031312;1,890037;1,024841;1,132666;13,323259;1,178525;1,069583
2016-07-01;10,496419;9,08564;-3,570307;0,916139;-7,858032;0,970516;0,977942;-16,669395;0,948964;1,326953
2016-08-01;-21,579417;-37,85073;-22,064537;1,022217;0,745485;1,030034;0,870255;3,436902;0,997861;1,651833
2016-09-01;10,61868;8,194105;7,499185;1,022875;3,332505;1,009526;1,070092;-2,196902;0,987064;1,916376
2016-10-01;9,056138;7,726097;6,067054;0,993915;0,906153;1,045154;0,997259;0,654162;0,919683;1,275435
2016-11-01;2,717931;7,888764;3,369142;0,976507;-1,241355;1,025479;0,978589;-3,03603;0,943874;0,930479
2016-12-01;-24,199531;-10,846153;-16,01382;1,043585;11,942927;1,040801;1,130617;-13,073382;0,954816;0,705333
2017-01-01;-14,846171;16,853111;2,971258;1,038785;2,618707;1,001525;0,94865;-2,108879;1,043726;0,678988
2017-02-01;-9,68289;5,106548;2,92815;0,917647;-9,602279;0,90647;0,90192;-7,309565;0,917091;0,634092
2017-03-01;13,160273;6,784057;16,562279;1,103734;6,763408;1,021701;1,091296;8,36795;1,091908;0,693983
2017-04-01;2,774203;-16,515979;-5,357672;0,940818;-7,445274;0,933354;0,95934;6,970218;0,990839;0,5614
2017-05-01;5,196324;-4,587872;7,301961;1,029617;1,592502;1,00726;0,97472;10,842128;1,079621;0,613422
2017-06-01;15,409529;7,660165;3,322369;0,994608;-2,246727;0,999798;1,09495;12,538187;1,118395;1,032811
2017-07-01;10,07652;9,052948;-4,568548;0,914491;-7,842537;0,970444;0,972635;-15,644164;0,98559;1,307042
2017-08-01;-21,978809;-37,240879;-21,664756;1,023909;0,473532;1,02735;0,881164;4,289789;1,006742;1,633181
2017-09-01;6,191466;7,185194;3,233889;0,983963;-0,628978;0,983422;1,032333;-3,112151;0,928767;1,839533
2017-10-01;13,459846;7,527698;9,125984;1,031681;5,286813;1,073851;1,027772;0,606105;0,98915;1,308928
2017-11-01;7,39365;7,280389;6,586095;1,015841;3,079065;1,055939;1,008954;-1,559193;0,994756;0,97098
2017-12-01;-31,882832;-9,468837;-22,817797;0,966931;3,736391;0,988243;1,036651;-17,128904;0,871854;0,659621
2018-01-01;-15,482873;14,688747;2,901761;1,037107;2,494919;1,002404;0,963427;-1,678158;1,062753;0,685782
2018-02-01;-9,233816;3,865485;3,300846;0,916847;-9,356128;0,905535;0,913147;-7,956446;0,921305;0,640872
2018-03-01;10,176705;8,278451;12,849814;1,066378;2,336284;0,994273;1,053173;8,073151;1,040391;0,685004
2018-04-01;5,912237;-13,901674;-0,800834;0,980022;-3,522439;0,956677;0,991309;7,462461;1,018476;0,594788
2018-05-01;1,118591;-4,275821;3,570204;0,988076;-2,740783;0,977819;0,937488;10,3374;1,025158;0,606867
2018-06-01;15,510674;7,063053;3,708385;0,996108;-2,228256;1,000856;1,095767;12,485096;1,058891;1,032882
