;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2025-11-01;-0,162354;2,222147;-4,067507;0,94764;-5,382778;1,008303;0,992058;-1,129837;0,948908;0,895127
2025-12-01;-20,899618;-2,602393;-18,064489;1,033722;10,964911;1,050649;1,131964;-19,315819;0,930456;0,723277
2026-01-01;-23,206879;6,442418;0,318101;0,99917;-1,636054;0,982304;0,923159;-3,727983;0,982254;0,713366
2026-02-01;-6,651804;5,776198;3,989684;0,924487;-9,320171;0,913363;0,942069;-10,018475;0,932004;0,690896
2026-03-01;10,280647;12,095467;12,796038;1,058989;0,915083;0,995727;1,043969;14,375795;1,02906;0,714761
2026-04-01;9,408387;-11,587898;6,432061;1,035705;-0,225563;0,965254;0,979253;10,213064;1,062732;0,684784
2026-05-01;-9,645632;-3,700235;-7,77437;0,902084;-10,416345;0,925222;0,852479;8,927185;0,937762;0,620628
2026-06-01;19,44614;0,077544;8,745506;1,042823;2,668462;1,01835;1,086837;13,819054;1,083451;1,087739
2026-07-01;16,530883;13,279221;6,724741;0,995774;2,211393;1,020798;0,991328;-15,520466;1,075784;1,390699
2026-08-01;-22,085414;-33,856521;-21,301825;0,956576;-3,125476;0,998443;0,883871;7,043111;0,941922;1,463945
2026-09-01;9,183479;5,66329;6,37971;1,025327;2,846821;1,010519;1,041606;-1,516157;1,020672;1,687795
2026-10-01;12,729366;5,225221;3,652766;1,039318;5,789818;1,076287;1,102795;-5,709845;0,98126;1,324165
