;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2012-01-01;94,970837;114,757871;96,135362;90,853717;104,943224;118,038805;99,051536;90,674515;114,455355;97,54368
2012-02-01;68,011244;108,748831;94,23083;93,125086;106,924335;119,814499;99,204385;89,802977;118,008095;88,721881
2012-03-01;95,650676;108,63498;80,61334;93,230041;105,755575;119,293024;96,078137;95,478127;128,277179;100,440439
2012-04-01;84,520639;108,762421;104,500702;94,297338;105,720161;115,203446;92,398107;88,67316;119,134845;96,562266
2012-05-01;92,543078;113,560551;104,480056;94,295954;106,80238;119,122006;92,731687;94,685576;119,989421;99,797568
2012-06-01;92,946519;114,617984;103,843943;92,121498;105,200498;116,098187;91,637449;90,736507;119,117907;94,528356
2012-07-01;92,186759;95,952214;107,987943;88,283827;104,418433;115,413276;90,91932;93,181806;120,799963;85,083532
2012-08-01;89,081152;94,4115;96,422644;93,797157;103,199227;117,491274;91,522838;91,287873;121,211089;112,463056
2012-09-01;89,674631;101,239632;108,66209;91,413735;103,963908;115,948634;93,020512;88,250401;128,722401;106,851424
2012-10-01;92,756047;104,616577;113,404236;92,88191;106,847485;116,985739;92,900288;95,897177;127,488889;126,280871
2012-11-01;89,804951;101,928954;118,151847;90,011879;105,028491;113,962256;89,593695;96,210459;123,531936;103,254041
2012-12-01;89,461091;55,669943;107,56582;89,719525;104,89112;113,444517;89,417233;94,435104;122,812962;104,36785
2013-01-01;82,471076;102,133247;91,961698;91,159757;108,261855;119,663635;90,593303;101,424758;122,829882;104,649479
2013-02-01;86,253797;107,475304;103,423491;90,569086;107,409878;114,235242;91,282139;92,187302;124,384902;105,871974
2013-03-01;86,27806;112,944029;98,850438;89,46421;106,420325;116,812329;91,253251;91,780669;129,133658;104,1561
2013-04-01;89,290318;128,562941;97,577854;89,78737;105,908804;115,313558;87,228608;91,524079;130,930405;104,773242
2013-05-01;88,61096;80,669062;88,116256;91,533682;105,870195;115,319185;88,894767;80,509741;127,979323;104,888856
2013-06-01;91,070812;110,010497;99,73829;86,364541;104,144338;109,690981;86,573392;87,571415;122,577178;78,964962
2013-07-01;98,098303;122,452795;95,966073;90,254036;103,456498;113,309647;87,444973;62,304192;128,610284;103,778704
2013-08-01;95,025722;93,377188;98,490977;87,693681;105,76445;114,958724;84,035605;93,133247;127,500414;101,115833
2013-09-01;91,902823;112,821673;94,479725;89,010591;102,997231;113,618988;86,041356;93,223161;121,733346;99,464456
2013-10-01;93,0937;117,660604;99,595572;89,710988;103,842532;113,800304;87,999646;90,806179;124,224896;122,852422
2013-11-01;92,296998;86,989053;99,326035;90,483414;104,666821;115,286704;89,144316;84,778561;128,626319;112,247689
2013-12-01;94,571172;111,181799;101,65008;88,981483;98,453352;113,310743;87,959279;85,863082;126,651736;104,200911
2014-01-01;93,963305;102,156054;103,212876;90,347823;100,99062;114,500443;82,295423;88,55107;127,846857;101,052289
2014-02-01;94,550876;104,850772;101,986187;89,638298;102,252942;115,575773;83,929821;92,176563;131,043474;97,808522
2014-03-01;93,422261;101,965274;101,257031;86,632842;97,357209;112,069696;83,262448;88,946127;127,34828;96,822774
2014-04-01;93,856384;110,456442;104,837449;94,252087;107,996565;114,342038;85,599431;94,509246;127,228094;101,46926
2014-05-01;83,837831;94,915162;100,941853;85,952322;104,046942;111,891352;80,756665;84,819644;131,827152;98,986699
2014-06-01;87,470648;88,826671;103,010196;90,850743;109,648373;113,688714;85,954826;89,11742;133,821036;105,715004
2014-07-01;89,798589;101,48435;113,94458;91,478623;106,813241;112,565535;82,215866;83,69861;132,179969;114,207118
2014-08-01;91,632993;106,144958;106,977852;89,713941;104,294207;111,844507;80,479471;79,688339;127,667678;104,596118
2014-09-01;88,552618;108,168774;102,697241;90,439797;104,882869;112,036576;83,231819;91,229532;132,28522;108,965415
2014-10-01;86,735931;95,848423;96,989071;91,144933;102,885024;110,510736;85,280212;92,862936;136,109389;107,957532
2014-11-01;81,863577;105,539207;94,043881;89,872235;102,795861;110,195956;84,539518;99,927514;146,307242;98,263885
2014-12-01;85,62715;101,060743;92,380952;91,246559;104,770312;112,108641;82,224532;94,262417;137,853346;100,709798
2015-01-01;92,399549;111,839164;93,620241;90,839559;104,507448;109,892725;83,306023;92,158816;137,709563;100,155236
2015-02-01;89,337658;106,721723;96,374776;89,733729;103,325525;106,806134;82,687136;94,785095;132,437686;97,499746
