;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2012-01-01;80,970128;133,785153;101,772562;94,277132;106,948271;118,058104;90,567436;88,485111;114,397839;63,716065
2012-02-01;61,944571;118,769928;89,494892;90,493274;99,958503;114,818183;94,504954;90,632726;111,95107;54,596547
2012-03-01;103,75847;112,60787;91,162919;97,350434;107,866898;118,747012;100,866331;103,510324;136,974611;61,413339
2012-04-01;95,21291;94,397378;101,761904;92,420898;102,462241;110,59646;90,567773;98,931021;124,478959;52,339776
2012-05-01;92,149903;112,420129;105,044593;95,753223;106,582507;117,88815;86,195284;101,908443;127,021079;55,686525
2012-06-01;108,275924;120,041224;105,555587;90,975998;103,908488;114,763148;99,005796;99,232631;128,458199;95,070408
2012-07-01;112,116129;101,165614;114,51839;88,604381;104,901264;118,382833;96,036275;75,991925;131,63122;126,857222
2012-08-01;68,94737;49,940907;76,827789;94,680486;103,467856;121,914643;76,361955;92,88434;117,906943;187,703866
2012-09-01;92,485263;112,83313;107,766693;86,199783;97,70127;110,837532;93,270384;83,163718;113,733769;196,534118
2012-10-01;110,216655;114,807378;131,903946;100,634582;116,150684;129,472832;103,643837;102,719995;128,203985;181,595045
2012-11-01;94,041577;110,82191;123,591412;90,020712;107,705346;119,663546;93,014178;95,449706;118,790952;97,399218
2012-12-01;55,887886;43,937835;81,810058;86,918281;108,420626;110,71765;96,154265;80,668327;104,951243;67,733565
2013-01-01;68,647854;121,458606;97,605488;94,699575;110,455631;119,599547;83,089194;99,318259;126,118844;68,757657
2013-02-01;74,758836;114,106035;105,125295;83,289676;97,562385;104,049035;82,434348;87,345244;113,868073;63,827737
2013-03-01;90,297408;116,452034;105,968042;90,321416;104,559259;113,164653;92,501869;98,341058;129,176184;61,997012
2013-04-01;103,667693;113,667214;98,59948;91,127251;106,666754;113,753386;88,572696;102,699331;144,215097;58,944382
2013-05-01;88,490059;79,21956;88,965577;92,672214;105,380186;114,010008;82,801847;87,925516;134,767047;58,612241
2013-06-01;102,494485;115,521939;97,873599;82,227635;98,711421;105,646093;90,322621;95,545458;129,232689;76,881819
2013-07-01;121,673191;128,522552;106,145877;93,835479;107,877441;119,442168;95,752374;46,64755;144,962247;159,149511
2013-08-01;70,727653;49,667864;74,418795;85,504388;102,038803;115,978413;68,210113;93,557991;116,055473;163,414998
2013-09-01;98,906801;124,217297;97,311198;87,243581;101,056431;111,678749;89,209255;89,305536;111,466508;188,906235
2013-10-01;110,366725;127,211097;117,442451;96,932011;113,122246;125,849096;97,493601;97,195621;129,497221;175,087983
2013-11-01;88,748531;95,542815;97,655662;84,12893;99,344036;114,720779;86,001853;81,668861;116,601622;98,948855
2013-12-01;65,108599;99,329608;79,829709;89,474189;106,082454;113,772621;98,032519;73,248266;116,588773;70,00699
