;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2025-11-01;74,671265;87,416415;86,526565;85,05881;95,056399;101,15526;94,215668;109,824657;76,508725;83,067111
2025-12-01;54,600446;79,275034;73,481979;93,435636;110,032257;105,649405;108,286933;91,08061;77,176025;69,147243
2026-01-01;53,685117;92,483483;87,935371;89,807049;96,18829;99,041073;86,854749;109,167059;79,82903;69,749608
2026-02-01;68,48607;87,758118;92,089979;82,766255;87,962201;92,003718;89,19182;102,21867;75,650437;67,375533
2026-03-01;86,16098;93,14409;100,002775;95,475579;98,526232;100,318038;98,501739;125,134677;81,849929;70,456177
2026-04-01;84,392138;75,728771;93,127678;92,603868;96,927566;98,816087;92,274442;121,809136;85,681422;66,789317
2026-05-01;65,866368;78,562682;80,285441;82,175721;86,093172;93,900006;80,732893;120,022872;74,632547;60,909947
2026-06-01;94,335945;84,070083;94,678593;93,306358;98,991753;103,368483;101,668882;125,71317;86,905045;107,65371
2026-07-01;90,612616;91,735549;94,501166;89,253671;97,03627;103,785701;94,070624;97,594554;85,645688;137,086185
2026-08-01;51,005773;43,008454;64,669696;86,754683;93,212806;101,544518;83,594893;117,924625;75,211899;148,519501
2026-09-01;82,879598;88,191586;93,794003;91,340416;99,214176;102,589906;99,294701;110,630594;80,8876;168,148721
2026-10-01;86,144499;87,658471;91,778976;92,241931;101,821081;109,685979;104,468062;108,217033;76,820147;131,569397
